Sample_ID	EGT-d9	CPM
1	0.417781003	2.808750099
2	0.94652038	5.202508674
3	0.352008006	0.389989705
4	0.58380631	3.043837987
5	0.573522263	0.107026951
6	0.478456648	9.070742105
7	0.394037542	0
8	38.19122693	0.194439412
9	0.378782623	0.218441521
10	4.150647666	1.410187308
11	38.23475235	0.190709001
12	0.91227295	0.840471235
13	38.70578491	0
14	8.803107819	0
15	0.373213223	14.24970483
16	35.97649555	0.790144208
17	39.16471864	0
18	43.11914111	0.250259843
19	0.746528926	0
20	6.332255894	1.412544645
21	0.603779018	0
22	0.263463304	1.714186781
23	0.504337768	17.84223199
